vendor,service_name,UPPER(sku),os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,D12_V2,Windows,CNY,ANNUAL,31092.36354,,CN EAST 2
Azure,Virtual Machines,D12_V2,Windows,CNY,ANNUAL,31092.36354,,CN NORTH 2
Azure,Virtual Machines,D12_V2,Windows,CNY,ANNUAL,11026.08,1,CN EAST 2
Azure,Virtual Machines,D12_V2,Windows,CNY,ANNUAL,11026.08,1,CN NORTH 2
Azure,Virtual Machines,D13_V2,Linux,CNY,ANNUAL,57223.27296,,CN EAST 2
Azure,Virtual Machines,D13_V2,Linux,CNY,ANNUAL,57223.27296,,CN NORTH 2
Azure,Virtual Machines,D13_V2,Linux,CNY,ANNUAL,20320.08,1,CN EAST 2
Azure,Virtual Machines,D13_V2,Linux,CNY,ANNUAL,20320.08,1,CN NORTH 2
Azure,Virtual Machines,D13_V2,Windows,CNY,ANNUAL,62097.06888,,CN EAST 2
Azure,Virtual Machines,D13_V2,Windows,CNY,ANNUAL,62097.06888,,CN NORTH 2
Azure,Virtual Machines,D13_V2,Windows,CNY,ANNUAL,22061.04,1,CN EAST 2
Azure,Virtual Machines,D13_V2,Windows,CNY,ANNUAL,22061.04,1,CN NORTH 2
Azure,Virtual Machines,D14_V2,Linux,CNY,ANNUAL,114367.6535,,CN EAST 2
Azure,Virtual Machines,D14_V2,Linux,CNY,ANNUAL,114367.6535,,CN NORTH 2
Azure,Virtual Machines,D14_V2,Linux,CNY,ANNUAL,40640.16,1,CN EAST 2
Azure,Virtual Machines,D14_V2,Linux,CNY,ANNUAL,40640.16,1,CN NORTH 2
Azure,Virtual Machines,D14_V2,Windows,CNY,ANNUAL,124290.5618,,CN EAST 2
Azure,Virtual Machines,D14_V2,Windows,CNY,ANNUAL,124290.5618,,CN NORTH 2
Azure,Virtual Machines,D14_V2,Windows,CNY,ANNUAL,44157.84,1,CN EAST 2
Azure,Virtual Machines,D14_V2,Windows,CNY,ANNUAL,44157.84,1,CN NORTH 2
Azure,Virtual Machines,D15_V2,Linux,CNY,ANNUAL,142979.29,,CN EAST 2
Azure,Virtual Machines,D15_V2,Linux,CNY,ANNUAL,142979.29,,CN NORTH 2
Azure,Virtual Machines,D15_V2,Linux,CNY,ANNUAL,50800.32,1,CN EAST 2
Azure,Virtual Machines,D15_V2,Linux,CNY,ANNUAL,50800.32,1,CN NORTH 2
Azure,Virtual Machines,D15_V2,Windows,CNY,ANNUAL,155382.9253,,CN EAST 2
Azure,Virtual Machines,D15_V2,Windows,CNY,ANNUAL,155382.9253,,CN NORTH 2
